conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,RTT_samples_a2b,RTT_samples_b2a,RTT_min_a2b,RTT_min_b2a,RTT_max_a2b,RTT_max_b2a,RTT_avg_a2b,RTT_avg_b2a,RTT_stdev_a2b,RTT_stdev_b2a,RTT_from_3WHS_a2b,RTT_from_3WHS_b2a,RTT_full_sz_smpls_a2b,RTT_full_sz_smpls_b2a,RTT_full_sz_min_a2b,RTT_full_sz_min_b2a,RTT_full_sz_max_a2b,RTT_full_sz_max_b2a,RTT_full_sz_avg_a2b,RTT_full_sz_avg_b2a,RTT full_sz_stdev_a2b,RTT_full_sz_stdev_b2a,post-loss_acks_a2b,post-loss_acks_b2a,ambiguous_acks_a2b,ambiguous_acks_b2a,RTT_min_(last)_a2b,RTT_min_(last)_b2a,RTT_max_(last)_a2b,RTT_max_(last)_b2a,RTT_avg_(last)_a2b,RTT_avg_(last)_b2a,RTT_sdv_(last)_a2b,RTT_sdv_(last)_b2a,segs_cum_acked_a2b,segs_cum_acked_b2a,duplicate_acks_a2b,duplicate_acks_b2a,triple_dupacks_a2b,triple_dupacks_b2a,max_#_retrans_a2b,max_#_retrans_b2a,min_retr_time_a2b,min_retr_time_b2a,max_retr_time_a2b,max_retr_time_b2a,avg_retr_time_a2b,avg_retr_time_b2a,sdv_retr_time_a2b,sdv_retr_time_b2a,

10,10.0.0.1,20.0.0.1,34676,80,1696542767.308242 , 1696542767.778067 ,              9,              9,              0,              0,              8,              9,              6,              2,              0,              0,              0,              0,              0,              0,            156,          16853,              1,              6,            156,          16853,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            156,          11584,            156,            188,            155,           2808,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            156,            188,              1,              1,            156,          16853,              0,              0,              0,              0,              0,              0,          0.000,          0.119,          120.2,          119.1,              0,              0,            332,          35871,              3,              7,          107.7,            0.0,          120.2,            0.9,          115.4,            0.1,            6.7,            0.3,          120.2,            0.0,              2,              1,          118.2,            0.0,          120.2,            0.0,          119.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
11,10.0.0.1,20.0.0.1,34738,80,1696542767.495087 , 1696542767.895106 ,             10,              9,              0,              0,              9,              9,              7,              2,              0,              0,              0,              0,              0,              0,            156,          18337,              1,              6,            156,          18337,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            156,           5792,            156,            188,            155,           3055,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            156,            188,              1,              1,            156,          18337,              0,              0,              0,              0,              0,              0,          0.000,          0.107,          125.3,          121.9,              0,              0,            390,          45840,              3,              7,           81.4,            0.0,          121.7,            0.0,           95.9,            0.0,           22.4,            0.0,           84.5,            0.0,              2,              1,           81.4,            0.0,           84.5,            0.0,           83.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
12,10.0.0.1,20.0.0.1,34742,80,1696542767.512707 , 1696542767.959314 ,             14,             14,              0,              0,             13,             14,             11,              2,              0,              0,              0,              0,              0,              0,            156,          31169,              1,             11,            156,          31169,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            156,           7240,            156,            188,            155,           2833,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            156,            188,              1,              1,            156,          31169,              0,              0,              0,              0,              0,              0,          0.000,          0.129,          121.6,          120.3,              0,              0,            349,          69791,              3,             12,           86.6,            0.0,          120.2,            1.3,          105.0,            0.1,           17.0,            0.4,           86.6,            0.0,              2,              1,           86.6,            0.0,          108.3,            0.0,           97.5,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
13,10.0.0.1,20.0.0.1,34766,80,1696542767.565024 , 1696542767.879147 ,              6,              6,              0,              0,              5,              6,              3,              2,              0,              0,              0,              0,              0,              0,            156,           4172,              1,              3,            156,           4172,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            156,           2896,            156,            187,            155,           1390,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            156,            187,              1,              1,            156,           4172,              0,              0,              0,              0,              0,              0,          0.000,          0.000,          121.6,          113.7,              0,              0,            497,          13281,              3,              4,           74.9,            0.0,          121.5,            1.2,          103.3,            0.3,           25.0,            0.6,          121.5,            0.0,              2,              1,           74.9,            0.0,          121.5,            0.0,           98.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
14,10.0.0.1,20.0.0.1,34796,80,1696542767.632421 , 1696542768.69403 ,             12,             11,              0,              0,             11,             11,              9,              2,              0,              0,              0,              0,              0,              0,            156,          23517,              1,              8,            156,          23517,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            156,          11584,            156,            188,            155,           2939,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            156,            188,              1,              1,            156,          23517,              0,              0,              0,              0,              0,              0,          0.000,          0.114,          116.5,          121.2,              0,              0,            357,          53817,              3,              9,           81.1,            0.0,          120.8,            0.0,          106.1,            0.0,           21.8,            0.0,          116.5,            0.0,              2,              1,          116.5,            0.0,          120.8,            0.0,          118.7,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
15,10.0.0.1,20.0.0.1,34814,80,1696542767.714785 , 1696542768.146720 ,              9,              9,              0,              0,              8,              9,              6,              2,              0,              0,              0,              0,              0,              0,            156,          22381,              1,              6,            156,          22381,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            156,          13032,            156,            188,            155,           3729,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            156,            188,              1,              1,            156,          22381,              0,              0,              0,              0,              0,              0,          0.000,          0.133,          119.0,          120.7,              0,              0,            361,          51816,              3,              7,           80.0,            0.0,          119.8,            0.8,           98.9,            0.1,           20.0,            0.3,           96.7,            0.0,              2,              1,           96.7,            0.0,          119.8,            0.0,          108.3,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
16,10.0.0.1,20.0.0.1,34832,80,1696542767.745031 , 1696542768.356040 ,             14,             13,              0,              0,             13,             13,             11,              2,              0,              0,              0,              0,              0,              0,            156,          30812,              1,             10,            156,          30812,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            156,          11584,            156,            188,            155,           3080,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            156,            188,              1,              1,            156,          30812,              0,              0,              0,              0,              0,              0,          0.000,          0.320,          199.4,          199.4,              0,              0,            255,          50428,              3,             11,           80.8,            0.0,          114.9,            0.0,           96.2,            0.0,           17.3,            0.0,           80.8,            0.0,              2,              1,           80.8,            0.0,          114.9,            0.0,           97.8,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
17,10.0.0.1,20.0.0.1,34990,80,1696542768.130186 , 1696542768.606387 ,             18,             18,              0,              0,             17,             18,             15,              2,              0,              0,              0,              0,              0,              0,            156,          33794,              1,             15,            156,          33794,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            156,          10136,            156,            188,            155,           2252,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            156,            188,              1,              1,            156,          33794,              0,              0,              0,              0,              0,              0,          0.000,          0.171,          119.1,          119.1,              0,              0,            328,          70966,              3,             16,           92.8,            0.0,          113.5,            0.4,          100.6,            0.0,           11.2,            0.1,           95.4,            0.0,              2,              1,           92.8,            0.0,           95.4,            0.0,           94.1,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
18,10.0.0.1,20.0.0.1,35048,80,1696542768.276535 , 1696542769.710420 ,             16,             14,              0,              0,             14,             14,             12,              2,              0,              0,              0,              0,              0,              0,            156,          32644,              1,             11,            156,          32644,              1,              0,              1,              0,              0,              0,              0,              0,              0,              0,              1,              2,            2/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            156,          10136,            156,            188,            155,           2967,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            156,            188,              1,              1,            156,          32644,              0,              0,              0,              0,              0,              0,          0.000,          0.159,         1006.5,          121.5,              0,              0,            109,          22766,              2,             12,           96.2,            0.0,           98.4,            0.0,           97.3,            0.0,            0.0,            0.0,            0.0,            0.0,              1,              1,           98.4,            0.0,           98.4,            0.0,           98.4,            0.0,            0.0,            0.0,              0,              0,              1,              0,           72.4,            0.0,           72.4,            0.0,           72.4,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              1,              0,         1006.5,            0.0,         1006.5,            0.0,         1006.4,            0.0,            0.0,            0.0,
19,10.0.0.1,20.0.0.1,35112,80,1696542768.444184 , 1696542769.492082 ,             18,             16,              0,              0,             17,             16,             14,              2,              0,              0,              0,              0,              0,              0,            156,          33645,              1,             13,            156,          33645,              1,              0,              1,              0,              0,              0,              0,              0,              0,              0,              1,              2,            1/2,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            156,          11584,            156,            188,            155,           2587,          65536,          69632,          65536,          69632,              0,              0,          65536,          69632,            156,            188,              1,              1,            156,          33645,              0,              0,              0,              0,              0,              0,          0.000,          0.351,          363.3,          472.7,              0,              0,            149,          32107,              2,             14,          105.2,            0.0,          117.1,            0.0,          111.1,            0.0,            0.0,            0.0,          117.1,            0.0,              1,              1,          117.1,            0.0,          117.1,            0.0,          117.1,            0.0,            0.0,            0.0,              0,              0,              1,              0,          109.1,            0.0,          109.1,            0.0,          109.1,            0.0,            0.0,            0.0,              0,              0,              0,              2,              0,              0,              1,              0,          363.3,            0.0,          363.3,            0.0,          363.3,            0.0,            0.0,            0.0,
